feature,coefficient,abs_coefficient
Services_Count,5.995208040876609,5.995208040876609
OnlineSecurity_encoded,-4.054740779441521,4.054740779441521
PaymentMethod_Electronic check,3.974585948432002,3.974585948432002
TechSupport_encoded,-3.951998827151456,3.951998827151456
OnlineBackup_encoded,-3.76641618383097,3.76641618383097
PaymentMethod_Mailed check,3.5492995064124457,3.5492995064124457
DeviceProtection_encoded,-3.5114516707354153,3.5114516707354153
StreamingTV_encoded,-3.4716097138293676,3.4716097138293676
PaymentMethod_Bank transfer (automatic),3.470927567176518,3.470927567176518
StreamingMovies_encoded,-3.4289322519145613,3.4289322519145613
PaymentMethod_Credit card (automatic),3.3459842883236197,3.3459842883236197
gender_Male,3.038433389323682,3.038433389323682
gender_Female,3.032698569129802,3.032698569129802
MonthlyCharges,2.483729341529433,2.483729341529433
InternetService_No,1.7126782429535097,1.7126782429535097
PhoneService_encoded,-1.4495562350259739,1.4495562350259739
TotalCharges,1.3780012010854175,1.3780012010854175
Avg_Monthly_Spend,-1.1307956208487935,1.1307956208487935
tenure,-1.0561639857694471,1.0561639857694471
Contract_encoded,-0.9094589956840236,0.9094589956840236
InternetService_DSL,0.7238335474908477,0.7238335474908477
Customer_Lifetime_Value,-0.5943658373266204,0.5943658373266204
Dependents_encoded,-0.4316422501794362,0.4316422501794362
InternetService_Fiber optic,0.28077728297458837,0.28077728297458837
MultipleLines_encoded,-0.19942439159888023,0.19942439159888023
PaperlessBilling_encoded,0.1716217262198088,0.1716217262198088
Partner_encoded,-0.14095242188276302,0.14095242188276302
Price_Per_Service,0.0895925528096494,0.0895925528096494
SeniorCitizen,-0.011069820159457013,0.011069820159457013
